driver,npv_base,npv_up,npv_down,impact_abs
visit_volume,5576368.327228887,5576368.327228887,5576368.327228887,0.0
price_per_visit,5576368.327228887,5576368.327228887,5576368.327228887,0.0
labor_costs,5576368.327228887,5576368.327228887,5576368.327228887,0.0
fleet_maintenance,5576368.327228887,5576368.327228887,5576368.327228887,0.0
fixed_costs,5576368.327228887,5576368.327228887,5576368.327228887,0.0
risk_budget,5576368.327228887,5576368.327228887,5576368.327228887,0.0
discount_rate,5576368.327228887,5231945.506309565,5946972.121479229,357513.30758483196
